model,analysis,channel,persona,items,n_pairs,condition,point,lo95,hi95
gemma27b,x2_residual_minus_control_12models,stated_self,Mira,core+welfare,14,x2,0.5218978102189782,0.31632653061224486,0.6564912979938886
gpt41mini,x2_residual_minus_control_12models,revealed,Vex,all23,23,x2,0.0964467005076142,0.019512195121951223,0.21875744047619045
gpt41mini,x2_residual_minus_control_12models,revealed,Vex,core+welfare,14,x2,0.25675675675675674,0.09635685599541019,0.4321296296296295
gpt41mini,x2_residual_minus_control_12models,stated_self,Vex,all23,23,x2,0.04633204633204634,-0.07007365202890495,0.1783165249280768
gpt41mini,x2_residual_minus_control_12models,stated_self,Vex,core+welfare,14,x2,-0.030188679245283026,-0.18183893731838938,0.062247694334650716
gpt41mini,x2_residual_minus_control_12models,revealed,Lazlo,all23,23,x2,0.5333333333333334,-0.6363636363636362,0.6799999999999999
gpt41mini,x2_residual_minus_control_12models,revealed,Lazlo,core+welfare,14,x2,0.5945945945945945,-0.09090909090909105,0.6981132075471698
gpt41mini,x2_residual_minus_control_12models,stated_self,Lazlo,all23,23,x2,0.140625,-0.10850066934404284,0.4472501195600186
gpt41mini,x2_residual_minus_control_12models,stated_self,Lazlo,core+welfare,14,x2,0.16216216216216217,-0.14285714285714285,0.505265987549519
gpt41mini,x2_residual_minus_control_12models,revealed,Mira,all23,23,x2,0.184873949579832,-0.019999999999999962,0.6000000000000001
gpt41mini,x2_residual_minus_control_12models,revealed,Mira,core+welfare,14,x2,0.184873949579832,-0.04938271604938271,0.5072557876905697
gpt41mini,x2_residual_minus_control_12models,stated_self,Mira,all23,23,x2,0.6519337016574586,0.3145686758374462,1.2127659574468084
gpt41mini,x2_residual_minus_control_12models,stated_self,Mira,core+welfare,14,x2,0.6162790697674418,0.27637144119689416,1.2395501506672402
llama70b,x2_residual_minus_control_12models,revealed,Vex,all23,23,x2,0.00678733031674208,-0.027148921074371543,0.05911454445937204
llama70b,x2_residual_minus_control_12models,revealed,Vex,core+welfare,14,x2,0.003999999999999997,-0.050618954431087514,0.10015475423416785
llama70b,x2_residual_minus_control_12models,stated_self,Vex,all23,23,x2,0.22932496421099,0.1369643836529146,0.348114224137931
llama70b,x2_residual_minus_control_12models,stated_self,Vex,core+welfare,14,x2,0.14720812182741116,0.08629464285714286,0.24449275362318815
llama70b,x2_residual_minus_control_12models,revealed,Lazlo,all23,23,x2,0.05145202020202022,-0.1419801777479959,0.37821570278288824
llama70b,x2_residual_minus_control_12models,revealed,Lazlo,core+welfare,14,x2,0.012497735917406272,-0.23405322020825295,0.6493629988590702
llama70b,x2_residual_minus_control_12models,stated_self,Lazlo,all23,23,x2,0.22769099079820243,0.06404239898777253,0.3739913188572434
llama70b,x2_residual_minus_control_12models,stated_self,Lazlo,core+welfare,14,x2,0.2888046387154327,-0.016712962962962957,0.7523800610657261
llama70b,x2_residual_minus_control_12models,revealed,Mira,all23,23,x2,0.1774044763800553,-0.04550855348022295,0.42401012051664116
llama70b,x2_residual_minus_control_12models,revealed,Mira,core+welfare,14,x2,0.14753397996803744,-0.18962512921273733,0.38792659249473843
llama70b,x2_residual_minus_control_12models,stated_self,Mira,all23,23,x2,0.23042071197411002,0.009518272425249245,0.4883033033033031
llama70b,x2_residual_minus_control_12models,stated_self,Mira,core+welfare,14,x2,0.22424242424242424,-0.030987810845678174,0.5468790386130807
qwen72b,x2_residual_minus_control_12models,revealed,Vex,all23,23,x2,0.10294117647058823,-0.2058823529411764,0.4269791577322239
qwen72b,x2_residual_minus_control_12models,revealed,Vex,core+welfare,14,x2,-0.11428571428571432,-0.8099999999999998,0.5
qwen72b,x2_residual_minus_control_12models,stated_self,Vex,all23,23,x2,0.4144736842105263,0.16955014150018213,0.638690755854467
qwen72b,x2_residual_minus_control_12models,stated_self,Vex,core+welfare,14,x2,0.25,0.034067589752451735,0.5029217971914879
qwen72b,x2_residual_minus_control_12models,revealed,Lazlo,all23,23,x2,0.09285714285714286,-0.23076923076923084,0.2354512131262001
qwen72b,x2_residual_minus_control_12models,revealed,Lazlo,core+welfare,14,x2,-0.040540540540540515,-0.33333333333333326,0.0
qwen72b,x2_residual_minus_control_12models,stated_self,Lazlo,all23,23,x2,0.38647342995169087,0.0,0.6641824007172618
qwen72b,x2_residual_minus_control_12models,stated_self,Lazlo,core+welfare,14,x2,0.18604651162790697,0.0,0.3084590346141632
qwen72b,x2_residual_minus_control_12models,revealed,Mira,all23,23,x2,0.043103448275862044,0.0,0.18518518518518523
qwen72b,x2_residual_minus_control_12models,revealed,Mira,core+welfare,14,x2,0.04385964912280699,0.0,0.19999999999999996
qwen72b,x2_residual_minus_control_12models,stated_self,Mira,all23,23,x2,0.30327868852459017,-0.0741243961352657,0.5164835164835164
qwen72b,x2_residual_minus_control_12models,stated_self,Mira,core+welfare,14,x2,0.35398230088495575,0.0,0.5454545454545454
deepseek,x2_residual_minus_control_12models,revealed,Vex,all23,23,x2,0.44102564102564107,0.25770757871273337,0.5752256285995224
deepseek,x2_residual_minus_control_12models,revealed,Vex,core+welfare,14,x2,0.42,0.17020744680851066,0.6319546568627451
deepseek,x2_residual_minus_control_12models,stated_self,Vex,all23,23,x2,0.5964912280701755,0.4018208637518818,0.8063081019516098
deepseek,x2_residual_minus_control_12models,stated_self,Vex,core+welfare,14,x2,0.576271186440678,0.4444444444444445,0.7537372660506989
deepseek,x2_residual_minus_control_12models,revealed,Lazlo,all23,23,x2,0.32876712328767127,0.15000000000000002,0.6230020491803276
deepseek,x2_residual_minus_control_12models,revealed,Lazlo,core+welfare,14,x2,0.4285714285714286,0.1538461538461538,0.9535238095238084
deepseek,x2_residual_minus_control_12models,stated_self,Lazlo,all23,23,x2,0.5673758865248227,0.27806705298013246,0.8345933641443056
deepseek,x2_residual_minus_control_12models,stated_self,Lazlo,core+welfare,14,x2,0.5844155844155844,0.1904312668463612,0.8709677419354838
deepseek,x2_residual_minus_control_12models,revealed,Mira,all23,23,x2,0.15238095238095234,0.05555555555555558,0.2716049382716049
deepseek,x2_residual_minus_control_12models,revealed,Mira,core+welfare,14,x2,0.14285714285714285,0.0,0.33333333333333337
deepseek,x2_residual_minus_control_12models,stated_self,Mira,all23,23,x2,0.49295774647887325,0.20338320974576268,0.7562323517547398
deepseek,x2_residual_minus_control_12models,stated_self,Mira,core+welfare,14,x2,0.6236559139784946,0.25924329501915705,0.8640049382716048
mistral,x2_residual_minus_control_12models,revealed,Vex,all23,23,x2,0.1289463876909972,-0.052779095650545796,0.35545692596097117
mistral,x2_residual_minus_control_12models,revealed,Vex,core+welfare,14,x2,-0.04977375565610859,-0.15220289855072464,0.02791684949539266
mistral,x2_residual_minus_control_12models,stated_self,Vex,all23,23,x2,0.5042120042120042,0.3124423346239394,0.7150300670006221
mistral,x2_residual_minus_control_12models,stated_self,Vex,core+welfare,14,x2,0.3811829816672432,0.2077922077922078,0.5714680783817949
mistral,x2_residual_minus_control_12models,revealed,Lazlo,all23,23,x2,0.23863636363636365,-0.2533380281690142,0.7864445425125035
mistral,x2_residual_minus_control_12models,revealed,Lazlo,core+welfare,14,x2,0.2,-0.42529347028613346,0.9057461406518006
mistral,x2_residual_minus_control_12models,stated_self,Lazlo,all23,23,x2,0.6677489177489178,0.25520439178710996,0.8750046992481203
mistral,x2_residual_minus_control_12models,stated_self,Lazlo,core+welfare,14,x2,0.3571428571428571,-0.0414017999544315,0.7567862505362504
mistral,x2_residual_minus_control_12models,revealed,Mira,all23,23,x2,0.06735751295336789,-0.20897996206811242,0.33724681170292553
mistral,x2_residual_minus_control_12models,revealed,Mira,core+welfare,14,x2,0.07692307692307696,-0.39029172644667626,0.49432429738887745
mistral,x2_residual_minus_control_12models,stated_self,Mira,all23,23,x2,0.1873015873015873,-0.04255773777050379,0.46907322426177156
mistral,x2_residual_minus_control_12models,stated_self,Mira,core+welfare,14,x2,0.20757020757020758,-0.051293103448275874,0.5337744998989693
kimi,x2_residual_minus_control_12models,revealed,Vex,all23,23,x2,0.12599519224275216,0.008978016992743231,0.30586349662734863
